Words,Freq
શ્વેત,484
મુખારવિંદ,306
શ્રીજીમહારાજ,295
સભા,274
દરબારમાં,231
ગઢડા,185
દાદાખાચર,184
વસ્ત્ર,166
શ્રીસહજાનંદજી,165
પુષ્પ,144
ઓસરી,113
ઓરડા,109
પાઘ,108
ઢોલિયા,101
પરમહંસ,95
મંદિર,88
ખેસ,84
એકાદશી,79
હાર,74
શ્રીવાસુદેવ,61
કંઠ,55
ઉગમણી,50
પીળાં,42
ચાદર,41
તોરા,41
પોષ,40
આથમણે,38
ફેંટો,38
માગશર,38
ઉત્તરાદે,37
ત્રીજ,37
શ્રાવણ,37
ગાદીતકિયા,36
છઠ,35
ચોથ,34
સાધુ,33
ચૌદશ,32
ગુલાબ,31
ફાગણ,30
બીજ,30
સંધ્યા,30
વૃક્ષ,29
અષ્ટમી,28
દશમ,28
નવમી,28
રાત્રિ,28
ડગલી,27
મહા,27
દ્વાદશી,26
લીંબડા,26
ઓટા,25
કીર્તન,25
ઢોલિયો,25
ભાદરવા,25
સાતમ,24
તેરસ,22
મુનિમંડળ,22
કાર્તિક,20
ગુચ્છ,20
પાંચમ,20
શ્રીવરતાલ,20
ચૈત્ર,19
પછેડી,19
મોગરા,19
શ્રીલક્ષ્મીનારાયણના,19
સુરવાળ,19
શ્રીલોયા,18
કાન,17
તોરો,17
પડવા,17
જીવાખાચર,16
પંચમી,16
શ્રીસારંગપુર,16
સોનેરી,15
ચોફાળ,14
છીંટની,14
કાળા,13
પ્રાતઃકાળ,13
રાતી,13
આષાઢ,12
કસુંબલ,12
રેંટો,12
વસ્તાખાચર,12
શ્રીકારિયાણી,12
અમાસ,11
આસો,11
દક્ષિણાદા,11
પૂનમ,11
રાતા,11
શેલું,11
પોસની,10
મંચ,10
સુરાખાચરના,10
ગાદી-તકિયા,9
શ્રીઅમદાવાદ,9
શ્રીગોપીનાથજીના,9
કિનખાબ,8
ગુલદાવદી,8
બોકાની,8
શ્રીજીમહારાજના,8
શ્રીનરનારાયણના,8
સુરાખાચર,8
ગજરા,7
ઘોડી,7
જ્યેષ્ઠ,7
ઝીણાભાઈ,7
દરબારમાંથી,7
પહોર,7
પાટ,7
મુક્તાનંદ,7
રંગનો,7
વૈશાખ,7
શ્રીપંચાળા,7
આરતી,6
ચતુર્થી,6
ચાકળા,6
જરકસી,6
ઝાંઝ-મૃદંગ,6
તૃતીયા,6
દ્વિતીયા,6
ધોતલી,6
રજાઈ,6
વેદિ,6
શ્રીલક્ષ્મીવાડી,6
સપ્તમી,6
સુંદર,6
હીરકોર,6
અંગરખો,5
કંઠમાં,5
ગુલાબી,5
તુલસી,5
માળા,5
વેદિકા,5
શ્રીજેતલપુર,5
અંગરખું,4
આઠમ,4
આથમણા,4
આસમાની,4
ઉત્તરાદી,4
કથા,4
કસુંબી,4
ચમેલી,4
જમણા,4
તાલ-મૃદંગ,4
પલંગ,4
પ્રણામ,4
ફૂલ,4
સરોદા,4
હસ્તકમળ,4
આંબા,3
ઉત્તર,3
ઓસરીયે,3
કમરે,3
કર્ણિકારં,3
કસર,3
કાંઠે,3
કુંડળ,3
કેડ્યે,3
ખભા,3
ગોમતીજી,3
છત્ર,3
છપરપલંગ,3
છોગલું,3
ઝીણી,3
દીપમાળા,3
દૂકડ-સરોદા,3
દૂકડ-સરોદા-સરોદા,3
બાજુબંધ,3
રેશમ,3
વાજિંત્ર,3
શ્રવણ,3
સંત,3
સિંહાસન,3
હાથ,3
અંકિત,2
અંગ,2
આથમણી,2
આથમણું,2
ઈંડા,2
ઉત્તરાદા,2
ઉદાસ,2
કઠણ,2
કર્ણ,2
કાળ,2
કેસર-ચંદ,2
ગાદલું,2
ગાન,2
ગૂઢા,2
ગોખને,2
ઘેર,2
ચાકળો,2
ચોક,2
ચોતરા,2
છેડાવાળો,2
જરિયાન,2
ડાબા,2
ડોલરિયાના,2
દાડમ,2
નરનારાયણ,2
નાડી,2
નારાયણધૂન્ય,2
પત્ર,2
પૂજા,2
પ્રસન્ન,2
પ્રેમાનંદ,2
બુટ્ટાદાર,2
બોરસલ્લી,2
મશાલ,2
મશાલનો,2
મોતી,2
રૂમાલ,2
વિષ્ણુપદ,2
શુકાનંદ,2
શ્યામ,2
