AmrutNo,no_of_words
ગઢડા પ્રથમ ૭૮,2771
પંચાળા ૪,2276
ગઢડા પ્રથમ ૭૩,2031
લોયા ૧૦,1960
લોયા ૬,1879
વધારાનું ૧,1857
ગઢડા મધ્ય ૧૩,1819
ગઢડા અંત્ય ૧૪,1816
કારિયાણી ૧,1676
ગઢડા અંત્ય ૩૯,1644
ગઢડા મધ્ય ૧૦,1630
લોયા ૧,1588
પંચાળા ૩,1586
સારંગપુર ૨,1541
લોયા ૧૮,1525
ગઢડા પ્રથમ ૬૩,1524
પંચાળા ૨,1524
ગઢડા પ્રથમ ૧૮,1483
લોયા ૮,1467
ગઢડા પ્રથમ ૭૦,1432
સારંગપુર ૧૪,1415
ગઢડા મધ્ય ૬૨,1408
ગઢડા પ્રથમ ૭૨,1351
લોયા ૭,1351
ગઢડા મધ્ય ૧,1308
લોયા ૧૫,1298
ગઢડા મધ્ય ૬૬,1289
પંચાળા ૭,1271
ગઢડા મધ્ય ૮,1238
ગઢડા પ્રથમ ૫૬,1216
લોયા ૧૭,1215
ગઢડા મધ્ય ૧૬,1202
ગઢડા પ્રથમ ૧૨,1154
ગઢડા પ્રથમ ૩૮,1141
ગઢડા મધ્ય ૩૩,1132
પંચાળા ૧,1131
ગઢડા અંત્ય ૨૭,1116
ગઢડા અંત્ય ૩૫,1108
ગઢડા અંત્ય ૨૧,1106
વરતાલ ૧૮,1103
ગઢડા મધ્ય ૩૧,1015
ગઢડા પ્રથમ ૬૫,993
ગઢડા અંત્ય ૨૪,993
ગઢડા પ્રથમ ૨૫,985
ગઢડા મધ્ય ૩૫,978
ગઢડા મધ્ય ૨૨,968
લોયા ૧૪,967
ગઢડા પ્રથમ ૭૧,959
ગઢડા અંત્ય ૨૮,959
લોયા ૧૩,921
સારંગપુર ૧૫,913
સારંગપુર ૧૮,906
વધારાનું ૧૨,906
ગઢડા મધ્ય ૩૯,904
કારિયાણી ૧૦,899
કારિયાણી ૩,896
ગઢડા મધ્ય ૧૭,896
ગઢડા અંત્ય ૧૩,893
ગઢડા અંત્ય ૩૩,887
લોયા ૨,885
ગઢડા પ્રથમ ૩૨,875
સારંગપુર ૬,867
ગઢડા મધ્ય ૯,867
લોયા ૧૬,864
વરતાલ ૨,855
વધારાનું ૧૧,846
ગઢડા પ્રથમ ૪૨,841
ગઢડા મધ્ય ૨૧,835
ગઢડા પ્રથમ ૨૪,831
લોયા ૪,828
લોયા ૫,819
ગઢડા અંત્ય ૧,818
ગઢડા મધ્ય ૫૭,813
ગઢડા પ્રથમ ૪૬,809
કારિયાણી ૮,808
ગઢડા અંત્ય ૩,808
ગઢડા અંત્ય ૪,808
ગઢડા મધ્ય ૩,797
ગઢડા પ્રથમ ૧૪,790
ગઢડા મધ્ય ૫૫,788
ગઢડા મધ્ય ૪,783
ગઢડા મધ્ય ૧૮,772
વરતાલ ૫,771
ગઢડા મધ્ય ૬,767
ગઢડા મધ્ય ૨૭,764
ગઢડા પ્રથમ ૪૭,763
ગઢડા મધ્ય ૬૪,758
કારિયાણી ૭,756
વરતાલ ૬,755
ગઢડા મધ્ય ૨૮,745
ગઢડા પ્રથમ ૨૬,743
ગઢડા અંત્ય ૨૨,738
વધારાનું ૯,737
સારંગપુર ૫,733
ગઢડા પ્રથમ ૨૧,727
