dates_finish,dates_start,amrut_finish,amrut_start,date_diff
1819-11-22,1819-11-21,ગઢડા પ્રથમ ૨,ગઢડા પ્રથમ ૧,1
1819-11-23,1819-11-22,ગઢડા પ્રથમ ૩,ગઢડા પ્રથમ ૨,1
1819-11-24,1819-11-23,ગઢડા પ્રથમ ૪,ગઢડા પ્રથમ ૩,1
1819-11-25,1819-11-24,ગઢડા પ્રથમ ૫,ગઢડા પ્રથમ ૪,1
1819-11-25,1819-11-25,ગઢડા પ્રથમ ૬,ગઢડા પ્રથમ ૫,0
1819-11-26,1819-11-25,ગઢડા પ્રથમ ૭,ગઢડા પ્રથમ ૬,1
1819-11-27,1819-11-26,ગઢડા પ્રથમ ૮,ગઢડા પ્રથમ ૭,1
1819-11-28,1819-11-27,ગઢડા પ્રથમ ૯,ગઢડા પ્રથમ ૮,1
1819-11-29,1819-11-28,ગઢડા પ્રથમ ૧૦,ગઢડા પ્રથમ ૯,1
1819-11-30,1819-11-29,ગઢડા પ્રથમ ૧૧,ગઢડા પ્રથમ ૧૦,1
1819-12-01,1819-11-30,ગઢડા પ્રથમ ૧૨,ગઢડા પ્રથમ ૧૧,1
1819-12-02,1819-12-01,ગઢડા પ્રથમ ૧૩,ગઢડા પ્રથમ ૧૨,1
1819-12-03,1819-12-02,ગઢડા પ્રથમ ૧૪,ગઢડા પ્રથમ ૧૩,1
1819-12-04,1819-12-03,ગઢડા પ્રથમ ૧૫,ગઢડા પ્રથમ ૧૪,1
1819-12-05,1819-12-04,ગઢડા પ્રથમ ૧૬,ગઢડા પ્રથમ ૧૫,1
1819-12-06,1819-12-05,ગઢડા પ્રથમ ૧૭,ગઢડા પ્રથમ ૧૬,1
1819-12-08,1819-12-06,ગઢડા પ્રથમ ૧૮,ગઢડા પ્રથમ ૧૭,2
1819-12-18,1819-12-08,ગઢડા પ્રથમ ૧૯,ગઢડા પ્રથમ ૧૮,10
1819-12-19,1819-12-18,ગઢડા પ્રથમ ૨૦,ગઢડા પ્રથમ ૧૯,1
1819-12-19,1819-12-19,ગઢડા પ્રથમ ૨૧,ગઢડા પ્રથમ ૨૦,0
1819-12-20,1819-12-19,ગઢડા પ્રથમ ૨૨,ગઢડા પ્રથમ ૨૧,1
1819-12-21,1819-12-20,ગઢડા પ્રથમ ૨૩,ગઢડા પ્રથમ ૨૨,1
1819-12-22,1819-12-21,ગઢડા પ્રથમ ૨૪,ગઢડા પ્રથમ ૨૩,1
1819-12-23,1819-12-22,ગઢડા પ્રથમ ૨૫,ગઢડા પ્રથમ ૨૪,1
1819-12-27,1819-12-23,ગઢડા પ્રથમ ૨૬,ગઢડા પ્રથમ ૨૫,4
1819-12-28,1819-12-27,ગઢડા પ્રથમ ૨૭,ગઢડા પ્રથમ ૨૬,1
1819-12-30,1819-12-28,ગઢડા પ્રથમ ૨૮,ગઢડા પ્રથમ ૨૭,2
1819-12-31,1819-12-30,ગઢડા પ્રથમ ૨૯,ગઢડા પ્રથમ ૨૮,1
1820-01-01,1819-12-31,ગઢડા પ્રથમ ૩૦,ગઢડા પ્રથમ ૨૯,1
1820-01-02,1820-01-01,ગઢડા પ્રથમ ૩૧,ગઢડા પ્રથમ ૩૦,1
1820-01-03,1820-01-02,ગઢડા પ્રથમ ૩૨,ગઢડા પ્રથમ ૩૧,1
1820-01-05,1820-01-03,ગઢડા પ્રથમ ૩૩,ગઢડા પ્રથમ ૩૨,2
1820-01-11,1820-01-05,ગઢડા પ્રથમ ૩૪,ગઢડા પ્રથમ ૩૩,6
1820-01-12,1820-01-11,ગઢડા પ્રથમ ૩૫,ગઢડા પ્રથમ ૩૪,1
1820-01-13,1820-01-12,ગઢડા પ્રથમ ૩૬,ગઢડા પ્રથમ ૩૫,1
1820-01-14,1820-01-13,ગઢડા પ્રથમ ૩૭,ગઢડા પ્રથમ ૩૬,1
1820-01-16,1820-01-14,ગઢડા પ્રથમ ૩૮,ગઢડા પ્રથમ ૩૭,2
1820-01-18,1820-01-16,ગઢડા પ્રથમ ૩૯,ગઢડા પ્રથમ ૩૮,2
1820-01-19,1820-01-18,ગઢડા પ્રથમ ૪૦,ગઢડા પ્રથમ ૩૯,1
1820-01-20,1820-01-19,ગઢડા પ્રથમ ૪૧,ગઢડા પ્રથમ ૪૦,1
1820-01-21,1820-01-20,ગઢડા પ્રથમ ૪૨,ગઢડા પ્રથમ ૪૧,1
1820-01-22,1820-01-21,ગઢડા પ્રથમ ૪૩,ગઢડા પ્રથમ ૪૨,1
