Paramhans_Name,No_Of_Questions
મુક્તાનંદ,84
નિત્યાનંદ,23
બ્રહ્માનંદ,15
સ્વયંપ્રકાશાનંદ,11
શુકમુનિ,10
ગોપાળાનંદ,9
શિવાનંદ,8
ચૈતન્યાનંદ,6
ભગવદાનંદ,5
અખંડાનંદ,5
નિર્વિકારાનંદ,5
ભજનાનંદ,4
નૃસિંહાનંદ,4
આત્માનંદ,4
મહાનુભાવાનંદ,3
આનંદાનંદ,2
નિર્માનાનંદ,2
સચ્ચિદાનંદ,1
પરમાનંદ,1
યોગાનંદ,1
નિષ્કુળાનંદ,1
પૂર્ણાનંદ,1
અચિંત્યાનંદ,1
આધારાનંદ,1
કપિલેશ્વરાનંદ,1
ત્યાગાનંદ,1
ત્રિગુણાતીતાનંદ,1
દહરાનંદ,1
નારાયણાનંદ,1
નિર્મળાનંદ,1
નિર્લોભાનંદ,1
પરમચૈતન્યાનંદ,1
પરમેશ્વરનંદ,1
પ્રતોષાનંદ,1
પ્રસાદાનંદ,1
ભૂધરાનંદ,1
લક્ષ્મણાનંદ,1
વેદાંતાનંદ,1
શાંતાનંદ,1
શૂન્યાતીતાનંદ,1
શ્રીગુરુચરણરતાનંદ,1
રામાનંદ,0
શ્રીરામાનંદ,0
સચ્ચિદાનંદરૂપ,0
પરમાનંદં,0
પ્રજ્ઞાનાનંદ,0
પ્રેમાનંદ,0
સ્વરૂપાનંદ,0
સ્વાયંપ્રકાશાનંદ,0
